audio_path,transcription,speaker_id,age,gender,location,duration,pdp_score
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_016m_0091.wav,unga byali timanga hi xixika,16,20,male,limpopo,5.16,-0.2426
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_125m_0120.wav,un wana a nga swi,125,18,male,gauteng,6.48,-0.2037
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_124m_0232.wav,ya ku pulana na rimba,124,19,male,gauteng,5.4,-0.2465
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_084m_0588.wav,kotaka ku kuma mahungu ya,84,20,male,limpopo,2.88,-0.2404
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_040f_0431.wav,ka nawu wa mafambiselo ya,40,20,female,limpopo,5.16,-0.2305
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_062m_0349.wav,eka rona kumbe eka tiko,62,23,male,limpopo,2.88,-0.2428
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_163f_0507.wav,wana u fanele ku va,163,20,female,gauteng,3.96,-0.2317
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_120f_0092.wav,nyikiwa matimba ka ikhonomi ya,120,19,female,gauteng,3.84,-0.2494
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_145m_0205.wav,ku ringeta ka hina ku,145,21,male,gauteng,2.64,-0.2501
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_057f_0141.wav,nga va ka kona eka,57,18,female,limpopo,2.64,-0.2047
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_155m_0072.wav,ku seketela xiyimo xa rimba,155,18,male,gauteng,4.2,-0.2459
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_101m_0375.wav,eka xiyimo xa afrika dzonga,101,22,male,gauteng,3.0,-0.2487
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_002m_0566.wav,eka tiko leri va nga,2,21,male,limpopo,2.76,-0.2299
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_067f_0402.wav,lava a va ri eka,67,20,female,limpopo,3.24,-0.2015
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_181m_0071.wav,a xi endla leswaku a,181,21,male,gauteng,2.4,-0.229
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_009m_0142.wav,nawu lowu kumbe nawu wa,9,21,male,limpopo,4.44,-0.2427
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_074m_0599.wav,xana hi ku vona ka,74,24,male,limpopo,2.88,-0.2561
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_189f_0256.wav,mimbuyelo ya xiyimo xa le,189,19,female,gauteng,4.44,-0.2539
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_177m_0155.wav,swi va khumbhaka lava nga,177,22,male,gauteng,3.48,-0.2317
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_185f_0052.wav,ku va kona ka rixaka,185,20,female,gauteng,2.04,-0.2142
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_167m_0068.wav,leswaku loyi a nga ta,167,23,male,gauteng,3.48,-0.2223
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_039m_0274.wav,to kala ti nga ri,39,23,male,limpopo,2.64,-0.2282
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_129f_0151.wav,na kumbe xiyimo xa swa,129,19,female,gauteng,3.24,-0.2409
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_171m_0317.wav,kambe a a nga ri,171,19,male,gauteng,2.64,-0.2121
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_062m_0099.wav,tihlanganise na va ndzawulo ya,62,23,male,limpopo,4.56,-0.2448
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_123m_0348.wav,swinyenyani swa tsakisa,123,22,male,gauteng,2.76,-0.2351
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_184f_0552.wav,mana wa yena a nga,184,21,female,gauteng,4.44,-0.1997
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_074m_0532.wav,nghena kumbe ku salela eka,74,24,male,limpopo,3.24,-0.2409
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_054f_0063.wav,na nkhulukelano wa wona wa,54,18,female,limpopo,4.44,-0.2482
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_025f_0147.wav,loyi ku vuriwaka yena eka,25,18,female,limpopo,4.92,-0.2395
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_062m_0402.wav,swa nawu wa tihakelo ta,62,23,male,limpopo,2.52,-0.2547
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_086m_0572.wav,naswona swa olova ku xi,86,27,male,limpopo,2.4,-0.2365
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_079f_0588.wav,xo kala xi nga ri,79,20,female,limpopo,2.4,-0.2564
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_179m_0218.wav,to sungula ta mavito na,179,19,male,gauteng,2.28,-0.2448
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_083f_0292.wav,a a nga ri na,83,23,female,limpopo,2.28,-0.1872
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_093m_0017.wav,eka hina ku tsarilo matsalwa,93,23,male,gauteng,3.72,-0.2437
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_180f_0380.wav,nkhuvo wo hlanganisa maxaka,180,19,female,gauteng,3.6,-0.2342
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_033f_0206.wav,ta va swi ri xiswona,33,19,female,limpopo,3.12,-0.2414
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_187f_0464.wav,timhaka leti nga kona eka,187,21,female,gauteng,3.0,-0.2389
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_116m_0190.wav,a ku ri hava na,116,21,male,gauteng,3.0,-0.2504
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_060m_0507.wav,leswi a swi n wi,60,22,male,limpopo,2.04,-0.2238
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_158f_0738.wav,ku nga ri ku na,158,18,female,gauteng,2.28,-0.2154
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_061m_0040.wav,ku te ku fuma ka,61,20,male,limpopo,3.48,-0.2377
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_063f_0408.wav,lawa khale a ya nga,63,19,female,limpopo,5.28,-0.2253
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_045m_0464.wav,a nga ni mfanelo ya,45,-1,male,limpopo,3.84,-0.2283
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_124m_0489.wav,swo tala naswona a xi,124,19,male,gauteng,3.24,-0.2241
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_020m_0457.wav,hlamula u ku hi swona,20,26,male,limpopo,3.48,-0.2484
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_126f_0419.wav,wu nga sungula ku tirha,126,19,female,gauteng,2.88,-0.2529
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_081m_0264.wav,mati ya le henhla ka,81,23,male,limpopo,3.12,-0.2508
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_097m_0013.wav,xana i mani loyi a,97,20,male,gauteng,3.24,-0.2164
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_064m_0252.wav,hi leswi nga eka tsalwa,64,26,male,limpopo,3.36,-0.2423
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_111f_0231.wav,swakudya swi aka mirhi,111,17,female,gauteng,3.6,-0.2547
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_170f_0400.wav,yin wana ya tindlela leti,170,19,female,gauteng,4.08,-0.2531
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_079f_0203.wav,koroni yi kahle eka mbilu,79,20,female,limpopo,3.0,-0.2438
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_029m_0005.wav,swivulwa swin wana a swi,29,25,male,limpopo,4.2,-0.2183
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_189f_0168.wav,lava a va ri na,189,19,female,gauteng,2.28,-0.2005
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_040f_0372.wav,nyika vonelo ra yena a,40,20,female,limpopo,6.48,-0.2459
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_101m_0045.wav,va nga ka va nga,101,22,male,gauteng,3.0,-0.1962
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_066f_0383.wav,a nga na malembe ya,66,20,female,limpopo,2.4,-0.2185
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_058m_0071.wav,leswi nga kona a swi,58,28,male,limpopo,5.28,-0.2124
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_067f_0268.wav,leswi swi vula leswaku hi,67,20,female,limpopo,3.96,-0.2471
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_097m_0113.wav,ku kota ku fikelela mahungu,97,20,male,gauteng,3.48,-0.2511
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_083f_0596.wav,ya hi leswaku xana ku,83,23,female,limpopo,3.36,-0.2486
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_173f_0460.wav,ku ya eka rin wana,173,21,female,gauteng,3.0,-0.222
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_146f_0057.wav,yin wana leyi a yi,146,21,female,gauteng,2.28,-0.2429
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_062m_0123.wav,nawu wa swihlahla swa rixaka,62,23,male,limpopo,4.44,-0.2079
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_123m_0162.wav,xa kharikhulamu xa rixaka xi,123,22,male,gauteng,3.0,-0.2535
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_005f_0064.wav,enela kambe ku na ku,5,27,female,limpopo,3.84,-0.222
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_030m_0228.wav,ra rixaka ra swihlovo swa,30,-1,male,limpopo,5.4,-0.2316
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_026f_0443.wav,yo kala ya nga ri,26,22,female,limpopo,2.64,-0.2245
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_049f_0040.wav,na ku twisisa ka leswi,49,21,female,limpopo,5.16,-0.2254
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_015m_0002.wav,ku va kona eka endlelo,15,21,male,limpopo,3.12,-0.2506
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_064m_0057.wav,leswaku vana va kota ku,64,26,male,limpopo,3.0,-0.2252
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_174m_0367.wav,ya mani na mani ya,174,21,male,gauteng,3.36,-0.2086
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_153f_0163.wav,nawu wa vumbiwa bya afrika,153,21,female,gauteng,2.88,-0.2432
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_122f_0470.wav,leswaku i mani loyi a,122,18,female,gauteng,3.24,-0.2183
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_022m_0569.wav,ku va eka xiyimo xa,22,24,male,limpopo,4.32,-0.2382
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_117m_0036.wav,ta ya emahlweni na ku,117,20,male,gauteng,5.4,-0.2295
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_117m_0349.wav,loko u hlamula xivutiso xa,117,20,male,gauteng,2.64,-0.2467
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_084m_0412.wav,ya ku pulana na rimba,84,20,male,limpopo,3.72,-0.2465
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_114m_0308.wav,ya le henhla ka misava,114,25,male,gauteng,5.04,-0.2434
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_124m_0385.wav,leyi kombisiweke eka ndzimana ya,124,19,male,gauteng,3.72,-0.2474
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_187f_0324.wav,ku cinca mavonelo na ku,187,21,female,gauteng,2.88,-0.2505
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_116m_0524.wav,hambana na leyi nga eka,116,21,male,gauteng,2.64,-0.2354
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_179m_0334.wav,ku susiwa timaraka ti timbirhi,179,19,male,gauteng,4.44,-0.2553
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_125m_0256.wav,ka munhu loyi a nga,125,18,male,gauteng,2.52,-0.2529
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_082f_0109.wav,misava yi hlayisa swibyariwa,82,20,female,limpopo,6.24,-0.2578
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_132m_0163.wav,ku nga tihlanganisiwaka na yena,132,19,male,gauteng,4.08,-0.2173
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_003f_0131.wav,vekiwa eka nawu wa ku,3,20,female,limpopo,4.08,-0.2243
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_052f_0343.wav,nga teka masiku manharhu ku,52,20,female,limpopo,4.44,-0.2558
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_028f_0107.wav,ra yena a tlhela a,28,-1,female,limpopo,2.52,-0.2501
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_079f_0027.wav,va a nga ri kona,79,20,female,limpopo,3.84,-0.2534
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_186m_0020.wav,i swa nkoka ku tiva,186,18,male,gauteng,2.28,-0.2287
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_185f_0023.wav,mutirhi a nga fanelanga ku,185,20,female,gauteng,2.4,-0.2407
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_137m_0426.wav,ri nga ka ri nga,137,22,male,gauteng,2.04,-0.2042
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_039m_0073.wav,wa xikombelo na swona nhlangano,39,23,male,limpopo,4.8,-0.2393
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_183m_0355.wav,tiko ra hina ra rimeka,183,19,male,gauteng,2.28,-0.2509
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_006m_0117.wav,ri fanele ku vonaka swinene,6,26,male,limpopo,3.84,-0.2443
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_070f_0267.wav,lava tivekaka ni lava nga,70,22,female,limpopo,2.88,-0.2077
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_147m_0307.wav,matsawu ya xawula,147,20,male,gauteng,2.52,-0.2268
e:/Model1X/Data/nchlt_tso/audio/nchlt_tso_011f_0243.wav,ku tsariwa mapeletwana yo sungula,11,23,female,limpopo,4.56,-0.2443
